state_number,state_name,accidents,fatalities,fatalities_per_accident,year
19,Iowa,355,402,1.1323943661971831,2016
46,South Dakota,103,116,1.1262135922330097,2016
20,Kansas,381,429,1.125984251968504,2016
31,Nebraska,194,218,1.1237113402061856,2016
35,New Mexico,361,405,1.1218836565096952,2016
56,Wyoming,100,112,1.12,2016
55,Wisconsin,544,607,1.1158088235294117,2016
5,Arkansas,504,561,1.1130952380952381,2016
4,Arizona,856,952,1.1121495327102804,2016
41,Oregon,448,498,1.1116071428571428,2016
30,Montana,171,190,1.1111111111111112,2016
48,Texas,3427,3797,1.1079661511526115,2016
38,North Dakota,102,113,1.107843137254902,2016
1,Alabama,979,1083,1.1062308478038816,2016
15,Hawaii,109,120,1.1009174311926606,2016
28,Mississippi,625,687,1.0992,2016
27,Minnesota,357,392,1.0980392156862746,2016
40,Oklahoma,628,687,1.0939490445859872,2016
21,Kentucky,763,834,1.09305373525557,2016
13,Georgia,1424,1556,1.0926966292134832,2016
42,Pennsylvania,1088,1188,1.0919117647058822,2016
16,Idaho,232,253,1.0905172413793103,2016
8,Colorado,558,608,1.0896057347670252,2016
50,Vermont,57,62,1.087719298245614,2016
25,Massachusetts,356,387,1.0870786516853932,2016
29,Missouri,872,947,1.0860091743119267,2016
26,Michigan,981,1065,1.0856269113149848,2016
49,Utah,259,281,1.084942084942085,2016
45,South Carolina,941,1020,1.083953241232731,2016
6,California,3540,3837,1.0838983050847457,2016
32,Nevada,304,329,1.082236842105263,2016
12,Florida,2935,3176,1.0821124361158432,2016
24,Maryland,484,522,1.078512396694215,2016
17,Illinois,1000,1078,1.078,2016
47,Tennessee,962,1037,1.0779625779625779,2016
2,Alaska,78,84,1.0769230769230769,2016
54,West Virginia,250,269,1.076,2016
37,North Carolina,1348,1450,1.07566765578635,2016
22,Louisiana,704,757,1.0752840909090908,2016
39,Ohio,1053,1132,1.0750237416904083,2016
18,Indiana,776,829,1.068298969072165,2016
23,Maine,150,160,1.0666666666666667,2016
53,Washington,504,536,1.0634920634920635,2016
44,Rhode Island,48,51,1.0625,2016
36,New York,981,1041,1.0611620795107033,2016
34,New Jersey,570,602,1.056140350877193,2016
51,Virginia,722,760,1.0526315789473684,2016
33,New Hampshire,130,136,1.0461538461538462,2016
9,Connecticut,292,304,1.0410958904109588,2016
11,District of Columbia,26,27,1.0384615384615385,2016
10,Delaware,116,119,1.0258620689655173,2016
